0,1,2,3,4,5,6,7,8,9,10
002,ΜΕΓΑΡΟ ΜΟΥΣΙΚΗΣ,406,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΜΕΤΑΞΟΥΡΓΕΙΟ,224,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 2,Boarding
002,ΜΟΝΑΣΤΗΡΑΚΙ,1281,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΜΟΣΧΑΤΟ,100,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΝΕΑ ΙΩΝΙΑ,138,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΝΕΟΣ ΚΟΣΜΟΣ,219,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 2,Boarding
002,ΝΕΡΑΤΖΙΩΤΙΣΣΑ,209,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΝΙΚΑΙΑ,131,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΝΟΜΙΣΜΑΤΟΚΟΠΕΙΟ,159,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΟΜOΝΟΙΑ,636,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΠΑΙΑΝΙΑ - ΚΑΝΤΖΑ,1,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΠΑΛΛΗΝΗ,9,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΠΑΝOΡΜΟΥ,333,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΠΑΝΕΠΙΣΤΗΜΙΟ,371,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 2,Boarding
002,ΠΕΙΡΑΙΑΣ,390,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΠΕΡΙΣΣOΣ,83,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΠΕΡΙΣΤΕΡΙ,136,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 2,Boarding
002,ΠΕΤΡΑΛΩΝΑ,158,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΠΕΥΚΑΚΙΑ,58,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΣΕΠOΛΙΑ,107,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 2,Boarding
002,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,246,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 2,Boarding
002,ΣΥΓΓΡΟΥ ΦΙΞ,440,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 2,Boarding
002,ΣΥΝΤΑΓΜΑ,1331,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 2,Boarding
002,ΤΑΥΡΟΣ,124,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΦΑΛΗΡΟ,180,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΧΑΛΑΝΔΡΙ,65,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΧΟΛΑΡΓOΣ,179,,,2025-05-24 07:55:55,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
003,ΑΕΡΟΔΡΟΜΙΟ,162,,,2025-05-24 07:58:11,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΠΡΟΑΣΤΙΑΚΟΣ,Boarding
003,ΑΘΗΝΑ,3,,,2025-05-24 07:58:11,2025-05-24 01:00:00,2025-05-23,2025-05-24,ΠΡΟΑΣΤΙΑΚΟΣ,Boarding
